twitter,url,name,location
100reporters,http://100r.org/,100Reporters,Washington
11alivenews,https://www.11alive.com,11Alive News,Atlanta
12newsnow,https://www.12newsnow.com/,12 News Now,Beaumont
13wmaznews,https://www.13wmaz.com,13WMAZ News,Macon
14eastmag,http://fourteeneastmag.com/,14 East,Chicago
19thnews,https://19thnews.org/,19th,Austin
3newsnowomaha,https://www.3newsnow.com/,KMTV 3 News Now,Omaha
404mediaco,https://www.404media.co/,404 Media,San Francisco
41nbc,https://www.41nbc.com,41NBC / WMGT,Macon
6abc,https://6abc.com/,6abc,Philadelphia
9news,https://www.9news.com/,9NEWS Denver,Denver
9to5mac,https://9to5mac.com/,9to5Mac,Cupertino
abc,https://abcnews.go.com/,ABC News,New York City
abc15,https://www.abc15.com/,ABC15 Arizona,Phoenix
abc3340,https://abc3340.com/,ABC 33/40 News,Birmingham
abc7,https://abc7.com/,ABC7,Los Angeles
abc7breaking,https://kvia.com/,KVIA,El Paso
abc7newsbayarea,https://abc7news.com/,ABC7 News,San Francisco
aberdeennews,https://www.aberdeennews.com/,Aberdeen News,Aberdeen
abqbizfirst,https://www.bizjournals.com/albuquerque/,Albuquerque Business First,Albuquerque
abqjournal,https://www.abqjournal.com/,Albuquerque Journal,Albuquerque
adndotcom,https://www.adn.com/,Anchorage Daily News,Anchorage
aftermath_site,https://aftermath.site/,Aftermath,Albany
ainonline,https://www.ainonline.com/,Aviation International News,Midland Park
airlinereporter,https://www.airlinereporter.com/,Airline Reporter,Seattle
airwaysmagazine,https://airwaysmag.com/,Airways,Miami
ajc,https://www.ajc.com/,Atlanta Journal-Constitution,Atlanta
aknewsnow,https://www.alaskasnewssource.com/,Alaska’s News Source,Anchorage
akpublicnews,https://alaskapublic.org/,Alaska Public Media,Anchorage
alamogordonews,https://www.alamogordonews.com/,Alamogordo Daily News,Alamogordo
albany_herald,https://www.albanyherald.com,Albany Herald,Albany
aldotcom,https://www.al.com/,Alabama Media Group,Montgomery
alliancereview,https://www.the-review.com/,The Alliance Review,Alliance
alpublicradio,https://www.apr.org/,Alabama Public Radio,Tuscaloosa
alreporter,https://www.alreporter.com/,Alabama Reporter,Montgomery
alternet,https://www.alternet.org/,AlterNet,Washington
amarilloglobe,https://www.amarillo.com/,Amarillo Globe-News,Amarillo
amerindependent,https://americanindependent.com/,American Independent,Washington
amestribnews,https://www.amestrib.com/,Ames Tribune,Ames
anchoragepress,https://www.anchoragepress.com/,Anchorage Press,Anchorage
andscape,https://andscape.com/,Andscape,Washington
ap,https://apnews.com/,Associated Press,New York City
apmreports,https://www.apmreports.org/,APM Reports,St. Paul
appalachia100,https://www.100daysinappalachia.com/,100 Days in Appalachia,Morgantown
argusleader,https://www.argusleader.com/,Sioux Falls Argus Leader,Sioux Falls
arizcir,https://azcir.org/,Arizona Center for Investigative Reporting,Phoenix
arkansasonline,https://www.arkansasonline.com/,Arkansas Democrat Gazette,Little Rock
arkbusiness,https://www.arkansasbusiness.com/,Arkansas Business,Little Rock
arknewsorg,https://arknews.org/,Arkansas Nonprofit News Network,Little Rock
arktimes,https://arktimes.com/,Arkansas Times,Little Rock
arstechnica,https://arstechnica.com/,Ars Technica,New York City
asburyparkpress,https://www.app.com/,Asbury Park Press,Asbury Park
asheville,https://www.citizen-times.com/,Asheville Citizen-Times,Asheville
ashlandornews,https://ashland.news/,Ashland.news,Ashland
aspendailynews,https://www.aspendailynews.com/,Aspen Daily News,Aspen
aspenjournalism,https://aspenjournalism.org/,Aspen Journalism,Aspen
aspenpubradio,https://www.aspenpublicradio.org/,Aspen Public Radio,Aspen
atlblog,https://abovethelaw.com/,Above the Law,New York City
atlciviccircle,https://atlantaciviccircle.org/,Atlanta Civic Circle,Atlanta
aug_chronicle,https://www.augustachronicle.com,Augusta Chronicle,Augusta
austinchronicle,https://www.austinchronicle.com/,Austin Chronicle,Austin
austinvida,https://www.austinvida.com/,Austin Vida,Austin
aviationnews,https://www.aerotime.aero/,AeroTime Hub,America
aviationweek,https://aviationweek.com/,Aviation Week,New York City
avlwatchdog,https://avlwatchdog.org/,Asheville Watchdog,Asheville
axios,https://www.axios.com/,Axios,Washington
azcentral,https://www.azcentral.com/,Arizona Republic,Phoenix
azds,https://azdailysun.com/,Arizona Daily Sun,Flagstaff
badger_project_,https://thebadgerproject.org/,Badger Project,Madison
bakersfieldcali,https://www.bakersfield.com/,Bakersfield Californian,Bakersfield
baltbeat,https://baltimorebeat.com/,Baltimore Beat,Baltimore
baltbizonline,https://www.bizjournals.com/baltimore/,Baltimore Business Journal,Baltimore
baltfishbowl,https://baltimorefishbowl.com/,Baltimore Fishbowl,Baltimore
baltimorebanner,https://www.thebaltimorebanner.com/,Baltimore Banner,Baltimore
baltimorebrew,https://www.baltimorebrew.com/,Baltimore Brew,Baltimore
baltimoremag,https://www.baltimoremagazine.com/,Baltimore Magazine,Baltimore
baltimoresun,https://www.baltimoresun.com/,The Baltimore Sun,Baltimore
bangordailynews,https://www.bangordailynews.com/,Bangor Daily News,Bangor
bariweiss,https://www.thefp.com/,Free Press,Los Angeles
barnpat,https://www.barnstablepatriot.com/,The Barnstable Patriot,Barnstable
bartlesvilleee,https://www.examiner-enterprise.com/,Examiner-Enterprise,Bartlesville
baruchticker,https://theticker.org/,Ticker,New York City
baynature,https://baynature.org/,Bay Nature,Berkeley
bcenquirer,https://www.battlecreekenquirer.com/,Battle Creek Enquirer,Battle Creek
bcn_foundation,http://www.localnewsmatters.org/,Local News Matters,Berkeley
bctimes,https://www.timesonline.com/,The Beaver County Times,Beaver
beaconjournal,https://www.beaconjournal.com/,Akron Beacon Journal,Akron
beaufortgazette,http://www.beaufortgazette.com,Beaufort Gazette,Beaufort
bellevillenewsd,http://www.bnd.com,Belleville News Democrat,Belleville
belt_magazine,http://beltmag.com/,Belt Magazine,Cleveland
berkeleyside,https://berkeleyside.org/,The Berkeleyside,Berkeley
berkshireeagle,https://www.berkshireeagle.com/,Berkshire Eagle,Pittsfield
bettergov,https://www.bettergov.org/,Better Government Association,Chicago
